"LLR-ID","SR-Refs","Title","Module","CodeSymbol","Detail","TestRefs","Status"
"LLR-001","SR-001","Recursive source walk and diff","FileBackup.Engine","Update-SourceManifest;Compare-SourceToBackup","Walks SourcePath recursively writing one manifest row per file (SR-001); Compare-SourceToBackup returns the pure NewOrChanged/RemovedFromSource diff consumed by the run.","TC-006;TC-008;TC-010;TC-014;TC-015","Planned"
"LLR-002","SR-002","xxHash128 file hashing","FileBackup.Common","Get-FileXxHash;Initialize-XxHashLibrary","Streams the file through System.IO.Hashing.XxHash128 and formats big-endian bytes as 32-char uppercase hex (SR-002); Initialize-XxHashLibrary guarantees the type is loaded.","TC-001;TC-016","Planned"
"LLR-003","SR-003","Content-addressed dedup keying","FileBackup.Engine","Invoke-BackupFileGroup;Get-HashSizeFileName","Groups source rows by (xxH2Hash,Length) and copies the physical data once per key (SR-003); Get-HashSizeFileName derives the content-addressed name under SR-069's base-57 grammar; later names flagged Duplicate.","TC-004;TC-018;TC-019","Planned"
"LLR-004","SR-004","Extension-gated 7-Zip storage","FileBackup.Common","Test-ShouldCompress;Compress-FileWithSevenZip","Test-ShouldCompress decides by extension only (SR-004); Compress-FileWithSevenZip writes a .7z whose extension is appended to the stored name so Compressed and filename agree. WP5 merged the eight extensions the HomeHub deployer's list carried (.jar .tgz .zst .gif .webm .ogg .sav .pack) into $script:NonCompressibleExtensions, which remains the ONE definition site; Office/text formats stay OFF the list, but AMENDED 2026-09-01 (WP17 Part A) their justification changes: the list is for formats KNOWN to be already compressed and office containers are not on it - SN-003's acceptance line is an EXAMPLE of the need, not a ruling on those formats (Owner ruling Q7), and under WP17 the bytes decide. The Common.psm1:110-114 comment that called the exclusion 'a stakeholder decision, not an oversight' is rewritten to record that ruling instead, riding the same Common commit as the list edit so it costs no extra KitRevision. WP17 Part A also APPENDS the extensions the 2026-08-31 defect review proved, in the existing groups, each with its evidence class named in the comment: archives .z7 (file(1): '7-zip archive data, version 0.4' - the finding itself, 649 files and 880 GB, 43% of the production library) and .esd (a Windows image, LZMA-compressed by definition); video .mpg .mpeg .m2ts .m4v .wmv .flv (codec containers of the same class as the .mp4/.mkv already listed - .mpg is the file that prompted the review, and .mp4 was already present); images .heic .heif (HEVC-coded stills, what current phones produce); audio .opus .m4a (the same class as the .aac/.ogg already listed). Explicitly NOT added, with the review's reasons: .iso (a filesystem CONTAINER - adding it is the false-'already compressed' error), .mca (unconfirmed, 4.5 GB), and .bin, .dng and .pdf (plausible but unproven - and exactly what the SR-081 probe is for). The list is not an attempt at completeness; it is the accepted-known-formats fast path. AMENDED the same day: Test-ShouldCompress is now the FIRST of two gates, not the whole decision - SR-081's measured probe is composed after it in the Engine (LLR-086), so this function's answer is an INPUT (ListSaysCompress, computed with -CompressEnabled $true so it carries only the list's opinion) rather than the verdict, and it remains the sole authority only in mode off and below the 256 KiB floor. The one definition site is unchanged and Engine still holds no NonCompressibleExtensions reference (TC-096). README's 'Already-compressed extensions' table is checked against the live list by TC-096 so the documentation cannot drift. Compress-FileWithSevenZip removes an existing destination BEFORE the '7z a', because 'a' ADDS to an archive rather than replacing it: the write path is index-authoritative, so an UNREFERENCED object at the content-addressed name (a run killed before its manifest was written, a row evicted while its object awaits prune, interrupted-7-Zip debris) would otherwise be merged into (WP9 review nit-4, taken 2026-08-26).","TC-002;TC-021;TC-096;TC-139;TC-222","Planned"
"LLR-005","SR-005","Dated snapshot completion","FileBackup.Engine","Complete-ChangeFolder;Initialize-StagingFolder","Builds the snapshot in Temp staging then, when the manifest state changed (Compare-SourceToBackup diff non-empty — NOT the physical-copy counter, which misses dedup-served adds and shared-content removals), renames it to Snapshot_<prior-backup-date> after its manifest is written (SR-005); no snapshot for a manifest-identical run or the latest/live state; same-second disambiguator preserved. An optional -BackupTime seam (cf. Test-HashRecalcDue -Now) dates the snapshot deterministically for tests.","TC-030;TC-046;TC-050","Planned"
"LLR-006","SR-006","Refcount-aware eviction","FileBackup.Engine","Move-RemovedFilesToStaging","Evicts a removed file's data to staging only when no surviving manifest row references its (hash,size) (SR-006); shared data is retained (B9).","TC-017","Planned"
"LLR-007","SR-007","Restore-kit deposition","FileBackup.Engine","New-ReconstructScript","Copies Reconstruct.ps1, reconstruct.sh, FileBackup.Common.psm1, System.IO.Hashing.dll, RECONSTRUCT.paths.json, RECONSTRUCT.cmd and RECONSTRUCT.command into the live backup and each dated snapshot (SR-007). Common imports nothing from Engine (load-bearing split). AMENDED 2026-08-28 (WP13): the generated Windows launcher is RECONSTRUCT.cmd and is a PURE PASSTHROUGH - no pause - and reconstruct.command is copied beside reconstruct.sh. RECONSTRUCT.bat is no longer written; Get-IsInfrastructureFile still recognises the name so a pre-rev-10 store's leftover copy is not reported as an orphan (SR-022).","TC-020;TC-031;TC-059","Planned"
"LLR-008","SR-008","Standalone reconstruction","Reconstruct.ps1","Reconstruct.ps1;Expand-FileWithSevenZip","Rebuilds the tree from the manifest using bundled Common (SR-008); decompresses .7z rows via Expand-FileWithSevenZip and recovers blank-DataPath rows by scanning for a content-hash match.","TC-021;TC-032","Planned"
"LLR-009","SR-009","Restore target guard","Reconstruct.ps1","Reconstruct.ps1","Rejects a restore target located inside the backup folder before writing any file, and refuses any manifest row whose canonicalized destination falls outside the target root — the row is warned, counted unrestored, and fails the run per SR-029 (SR-009).","TC-022;TC-064","Planned"
"LLR-010","SR-010","Point-in-time restore authority","Reconstruct.ps1","Reconstruct.ps1","When launched from a Snapshot_<date> folder, uses that snapshot's own manifest as the sole authority (no newer-manifest overlay) and resolves bytes by (xxH2Hash,Length) via Find-DataFileByHash over the data pool = backup root + all snapshot folders (SR-010). The scan's infrastructure-name skip is root-level only per SR-022 (a nested infra-named file is data and a legitimate recovery source, B6); matching is by (hash,length) — the skip is an optimization, not a correctness gate.","TC-033;TC-058","Planned"
"LLR-011","SR-011","Rehash scheduling decision","FileBackup.Engine","Test-HashRecalcDue;Get-LastHashRun;Set-LastHashRun","Test-HashRecalcDue maps A/E/D/W/M/Y/N + last-run + injectable -Now to a recalc boolean (SR-011); Get/Set-LastHashRun persist the timestamp in FileBackupState.json.","TC-005","Planned"
"LLR-014","SR-014","Per-set isolation and exit code","FileBackup.ps1","Invoke-BackupSet","FileBackup.ps1 loops Invoke-BackupSet per set updating an OverallSuccess [ref] (SR-014); a set's failure is logged without aborting the loop and yields exit 1.","TC-034","Planned"
"LLR-015","SR-015","Conditional non-fatal mail","FileBackup.ps1","FileBackup.ps1","Sends mail only when SMTP fields are present and -NoMail is unset (SR-015); Send-MailMessage failure is caught and logged WARN, never changing exit status (B15).","TC-035","Planned"
"LLR-016","SR-016","Non-interactive automation path","FileBackup.ps1;FileBackup.Engine;FileBackup.Common","FileBackup.ps1;Initialize-Dependencies;Resolve-OptionalTool;Initialize-XxHashLibrary","-NonInteractive threads from FileBackup.ps1 through Initialize-Dependencies into Resolve-OptionalTool (degrade missing tool to absent) and Initialize-XxHashLibrary (-AutoInstall or throw with guidance) so an unattended run never blocks on a prompt (SR-016). AMENDED 2026-08-24 (kit-bump rev6): Reconstruct.ps1 gains a [switch]$NonInteractive, documented in the param() block comments alongside -ExitCode and -RequireWitness. When -TargetRoot is omitted, -NonInteractive (or [System.Console]::IsInputRedirected as defense-in-depth) prints usage via a new Show-ReconstructUsage helper - text mirroring reconstruct.sh's usage parameter-for-parameter - and exits 2 (usage/precondition), matching reconstruct.sh's existing required --target-root; the interactive Read-Host prompt is kept, unchanged, for hand use. RECONSTRUCT.cmd passes %* so no launcher change is needed. AMENDED 2026-08-28 (WP13): Test-ShouldPromptGraphically is the pure decision core and returns None/Text/Gui; 'None' now also covers a session with no interactive console and no desktop (Environment.UserInteractive false), which previously fell through to Read-Host and blocked forever.","TC-036;TC-115","Implemented"
"LLR-017","SR-017;SR-075","Stale staging abort","FileBackup.Engine","Invoke-BackupSet;Initialize-StagingFolder;Get-StagingLockState;Read-StagingOwnerRecord;Write-StagingOwnerRecord;Invoke-StagingLockReclaim;Clear-ReclaimedStagingFolder;Remove-OwnStagingFolder;Assert-StagingLockOwned;Get-StagingConfirmationWait;Get-StagingLockIdentity;Compare-StagingLockIdentity","Detects a pre-existing Temp staging folder under ChangePath and aborts with a message naming it (SR-017) rather than overwriting a half-written prior run. AMENDED 2026-08-31 (WP14): the existence check alone turned every externally killed run into a permanent wedge, so Initialize-StagingFolder gains classification and reclaim. The New-Item fast path is UNTOUCHED -- the new code is reachable only from the existing catch, so a healthy run's instruction path does not change at all. On the catch path it logs the create failure verbatim and enters the classification ONLY when Temp exists as a directory, rethrowing the original error otherwise (§11 R-9); it then enumerates Temp forced, literal and error-stopping, hands that enumeration plus the Read-StagingOwnerRecord result to Get-StagingLockState (LLR-080), and on the Empty and OwnerStale verdicts takes the confirmation sample ITSELF -- the classifier stays pure, and Get-StagingConfirmationWait lengthens the 90 s floor to the record's own declared cadence plus 30 s, capped at 600 s (§11 R-6) -- before running the reclaim protocol: Directory.Move aside to Temp.stale-<utc>-<8 hex>; a re-examination of the MOVED folder against the sampled identity that moves a live directory straight back and refuses (§11 R-3); New-Item Temp; an IMMEDIATE Write-StagingOwnerRecord that closes the reclaimer's own create-to-marker window; then a re-enumeration of the aside folder that deletes only the exact marker leaf by name plus a NON-RECURSIVE Directory.Delete. Remove-Item -Recurse never appears in this path, either delete failing keeps the folder and prints the README recovery, and a failed move refuses without retrying in a loop. Every other verdict refuses with its own token -- [SR-075/owner-live], [SR-075/content-refused], [SR-075/prune-held], and Indeterminate or a reparse-point Temp with the content refusal -- and the message no longer hedges. On the success path Initialize-StagingFolder writes the owner record after New-Item returns and returns the rooted heartbeat handle alongside the folder path. Invoke-BackupSet wraps all post-acquisition work in a try/finally that stops and drains the heartbeat (the four existing catch cleanups cover only the early exits, so an exception escaping after staging gains content would otherwise leave a live timer advertising an abandoned lock as owned; this finally stops a timer and deletes nothing, so it is not the deferred guarded-finally refactor of the cleanups). Those four cleanups no longer call Remove-Item -Recurse at all: each goes through Remove-OwnStagingFolder, which proves the folder is still this run's (marker present, RunId ours, nothing inside beyond the marker and this run's own step-7 staging artifacts -- the copied prior MANIFEST.csv, MANIFEST.csv.meta and DIRECTORIES.csv, none of them a unique copy, which is what lets a late capacity refusal release its own lock instead of stranding Temp), stops and drains the heartbeat, deletes those exact leaves by name with the marker last and then the directory NON-RECURSIVELY, and on any doubt keeps the folder and logs [SR-075/lock-lost] -- the caller rethrowing the original error either way (§11 R-1, reproduced live: a resurrected owner's ORDINARY throw recursively deleted the successor's staging folder). It re-reads the marker with Read-StagingOwnerRecord and compares RunId at FIVE boundaries -- before the step-7 staging manifest write, before Move-RemovedFilesToStaging, before Save-SupersededData, before the backup-root Write-Manifest and its sidecar, and before Complete-ChangeFolder (§11 R-2) -- retrying an unreadable marker three times about 300 ms apart but never a mismatch (§11 R-8), aborting on mismatch and cleaning up NOTHING, and it stops, drains and removes the marker leaf immediately before Complete-ChangeFolder -- that function either deletes Temp or renames it wholesale into Snapshot_*, so a surviving marker would be published into every snapshot and then refused by prune's unreferenced-data rail (SR-046).","TC-024;TC-186;TC-187;TC-188;TC-189;TC-190;TC-191;TC-192;TC-194;TC-195;TC-196;TC-197;TC-198;TC-202;TC-203;TC-204","Planned"
"LLR-018","SR-018","Missing-config guard","FileBackup.ps1","FileBackup.ps1","Tests ConfigPath with -PathType Leaf and throws ""Config file not found"" before any work (SR-018).","TC-037","Planned"
"LLR-020","SR-020","External-tool resolution","FileBackup.Engine","Initialize-Dependencies;Resolve-OptionalTool;Get-MediaMBPerSec","Resolve-OptionalTool/Initialize-Dependencies locate configured tools; missing 7-Zip fails before any compression-enabled set is processed, while missing ffprobe leaves MediaMBPerSec blank (SR-020).","TC-039","Implemented"
"LLR-021","SR-021","Literal/bracket-safe paths","FileBackup.Common;FileBackup.Engine","Get-HashSizeFileName;Update-SourceManifest","All file ops use -LiteralPath and [System.IO.Path]::GetDirectoryName/GetFileName instead of Split-Path -LiteralPath -Parent/-Leaf (which throws on PS7), keeping Unicode/bracketed names intact (SR-021). Since WP12 a GENERATED object name can no longer contain a wildcard metacharacter at all (SR-069), so only source-derived paths still depend on this.","TC-012;TC-013","Planned"
"LLR-022","SR-022","Root-only infrastructure test","FileBackup.Engine","Test-IsInfrastructureFile","Classifies kit/manifest names as infrastructure only at the backup root (SR-022); nested same-named user files are data (B6). The allowlist covers every artifact New-ReconstructScript deploys, including the RECONSTRUCT.paths.json sidecar (2026-07-02 review).","TC-007;TC-011;TC-052","Planned"
"LLR-023","SR-023","Restore capacity check","Reconstruct.ps1","Reconstruct.ps1;Get-FreeSpaceBytes","Sums required bytes using decompressed sizes for .7z rows and compares against target free space before restoring (SR-023, B10/B11). The target volume is now measured by Get-FreeSpaceBytes (Common, SR-052) instead of Get-PSDrive over Split-Path -Qualifier, which errored on a rooted POSIX path and was swallowed by the adjacent catch, leaving this check silently inert on Linux and in the container. An unmeasurable volume still SKIPS the check rather than refusing.","TC-040;TC-101","Planned"
"LLR-024","SR-024","Deterministic manifest output","FileBackup.Engine;FileBackup.Common","Update-SourceManifest;Write-Manifest","Stable row ordering + typed serialization make an unchanged re-run produce byte-identical manifest rows (SR-024).","TC-026;TC-027;TC-028","Planned"
"LLR-025","SR-025","Manifest schema round-trip","FileBackup.Common","Read-Manifest;Write-Manifest","Read/Write-Manifest are the only IO for the 9-column schema, preserving typed Length/LastWriteTime, tolerating null/empty, and returning @() for a missing file (SR-025).","TC-003;TC-009","Planned"
"LLR-026","SR-026","Cross-change duplicate collapse","FileBackup.Engine","Optimize-ChangeFolders","After a run, collapses identical data shared across change folders to a single stored copy still resolvable from each (SR-026).","TC-041","Planned"
"LLR-028","SR-028","Dated-snapshot storage and clean cutover","FileBackup.Engine;FileBackup.Common;Reconstruct.ps1","Invoke-BackupSet;Get-LastBackupRun;Set-LastBackupRun;Optimize-ChangeFolders;Get-FileBackupDefaults","Persists each set's last backup-completion time in FileBackupState.json (new Get/Set-LastBackupRun) to date the next snapshot; snapshots keep the full pre-run manifest plus only superseded bytes (Move-RemovedFilesToStaging) deduped by Optimize-ChangeFolders; the ^Snapshot_ regex replaces ChangeFolderRegex in Get-FileBackupDefaults and engine/Reconstruct drop all Pre_*_Changes handling (SR-028). Set-LastBackupRun accepts an injectable -When for deterministic test timelines.","TC-043;TC-044;TC-047","Planned"
"LLR-027","SR-027","Config builder and quick-start","CredSetEx.ps1","CredSetEx.ps1","CredSetEx.ps1 plus the README quick-start let a new user produce a valid CLIXML config and run a first backup (SR-027); System.IO.Hashing auto-installs on first use.","TC-042","Planned"
"LLR-029","SR-029","Reconstruct unrestored-row accounting","Reconstruct.ps1","Reconstruct.ps1","The restore loop records every row it skips (blank-DataPath hash-recovery failure, missing DataPath, extraction failure) instead of silently continuing; after the loop a non-empty list logs an INCOMPLETE summary and throws, so a scripted pwsh -File caller exits non-zero (SR-029). A clean run keeps exit 0.","TC-051","Planned"
"LLR-030","SR-030","Bash xxh128 wrapper","bash/reconstruct.sh","hash_file","hash_file wraps xxhsum -H128 / xxh128sum, normalizing output to the 32-char uppercase big-endian hex Get-FileXxHash emits (SR-030). Lives inside the single self-contained reconstruct.sh (no sourced runtime libs, per plan pinned decision); the bottom-of-file main guard lets bats source the script to unit-test the function. Conformance pinned by golden fixtures under tests/fixtures/hash-conformance/.","TC-053","Verified"
"LLR-031","SR-031","Bash standalone restorer","bash","reconstruct.sh","reconstruct.sh restores from the backup root or a Snapshot_<date> folder with the SR-031 semantics, mirroring Reconstruct.ps1: authority selection by the script's own folder name (^Snapshot_ regex), RFC-4180 manifest parse, RelativePath backslash-to-slash mapping, data-pool (backup root + all snapshots) hash recovery for blank/missing DataPath rows, 7z expansion of compressed rows, target-inside-backup guard, capacity pre-check, and unrestored-row accounting with a non-zero exit naming the count (mirrors SR-029). Single self-contained file; tool preflight fails loudly with remediation (SN-015 pattern).","TC-054;TC-055","Verified"
"LLR-032","SR-032","Manifest portability layer","bash/reconstruct.sh","parse_manifest;to_posix_path","parse_manifest does RFC-4180 CSV parsing via gawk FPAT (handles quoted fields with commas/embedded quotes) and tolerates a UTF-8 BOM; to_posix_path maps RelativePath backslashes to '/'; LastWriteTimeStr is treated as opaque ISO-8601 'O' text (never reparsed/reformatted). Both are functions inside the self-contained reconstruct.sh, unit-tested by sourcing it under bats (SR-032).","TC-056","Verified"
"LLR-033","SR-033","Bash backup engine","bash","backup.sh","Produces contract-conformant backups (manifest schema, dedup, short names via the shared alphabet, .7z gating, dated snapshots, refcount eviction) interoperable with the PowerShell engine (SR-033). Phase bash-v2 — decompose further before implementation.","TC-057","Draft"
"LLR-034","SR-034","Container lifecycle workflow","Dockerfile;scripts/Invoke-Container.ps1;container/entrypoint.sh;compose.example.yaml","Invoke-Container.ps1","Builds a digest-pinned non-root image, checksum-verifies the baked System.IO.Hashing package, runs a compressed backup from a read-only source using a separate writable source-state mount and byte-exact restore smoke test, exports docker-loadable tar archives, and tags/pushes/pulls fully-qualified OCI image references without accepting registry secrets as arguments.","TC-060","Implemented"
"LLR-035","SR-035","Run-state integrity gate","FileBackup.Engine","Invoke-BackupSet;Get-LastBackupRun","Invoke-BackupSet reads the prior backup date before any mutation and throws when it is null while the existing MANIFEST.csv still has rows, and an unparseable FileBackupState.json surfaces as a failure rather than an empty first-run state — so a non-initial run can never take the first-backup branch of Complete-ChangeFolder that discards staged history (SR-035).","TC-061","Implemented"
"LLR-036","SR-036","Empty-source refusal","FileBackup.Engine","Invoke-BackupSet","When Update-SourceManifest returns zero rows for a source whose backup MANIFEST.csv still has rows, Invoke-BackupSet removes its staging folder and throws unless Set.AllowEmptySource is true; the error names the surviving row count and the override key (SR-036).","TC-062","Implemented"
"LLR-037","SR-037","Portable tool resolution","FileBackup.Common;FileBackup.Engine","Resolve-OptionalTool;Initialize-Dependencies","SevenZipDefaultPath is seeded from $env:FILEBACKUP_7ZIP_PATH (no module-scope Windows path construction); Initialize-Dependencies prefers the set's Tools.SevenZipPath, and the missing-7-Zip remediation names both knobs (SR-037).","TC-065","Implemented"
"LLR-038","SR-038;SR-022","Witness sidecar writer","FileBackup.Common;FileBackup.Engine","Write-Manifest;Write-ManifestWitness;Get-ManifestWitnessPath;Test-IsInfrastructureFile","Write-Manifest writes MANIFEST.csv then calls Write-ManifestWitness, which computes Get-FileXxHash over the written file, emits Version/Rows/Bytes/XxH128/Written as UTF-8 (no BOM) LF key=value lines to MANIFEST.csv.meta.tmp in the same folder and publishes it with Move-Item -Force (atomic rename over any prior sidecar). Both helpers live in Common because Reconstruct.ps1 may call only Common (AGENTS.md sec.3, guarded by TC-048). WitnessFilename is added to Get-FileBackupDefaults and to Test-IsInfrastructureFile's root-level allowlist beside RECONSTRUCT.paths.json, together with MANIFEST.csv.meta.tmp — a crash between the WriteAllText and the Move-Item leaves that staging file behind, and a leftover must not be backed up as user data nor warned about as an orphan. Rows is supplied by Write-Manifest (it already holds the records it wrote) instead of re-reading the manifest with Import-Csv; a standalone re-stamp omits it and the file is counted. Snapshots inherit their own witness because Complete-ChangeFolder rewrites the staging manifest through Write-Manifest before the rename; the sidecar is deliberately NOT added to the kit-artifact copy list (that would overwrite the snapshot's witness with the backup root's) (SR-038).","TC-066;TC-067","Verified"
"LLR-039","SR-039","Restore-side witness verification","FileBackup.Common;Reconstruct.ps1;bash/reconstruct.sh","Test-ManifestWitness;verify_manifest_witness","Test-ManifestWitness (Common) parses MANIFEST.csv.meta, compares Bytes/Rows/XxH128 against the manifest on disk and returns a verdict object (Verified|Absent|Mismatch|Malformed) plus the failing field and an optional non-fatal Warning. Fields are checked Bytes -> Rows -> XxH128, but a Rows-only disagreement defers to the digest: bytes and digest matching means the manifest IS the witnessed one, so it verifies with a warning (counting-semantics divergence) rather than aborting; with no digest present the row count still aborts. Reconstruct.ps1 calls it inside Read-RawManifest's replacement, after the manifest-exists check and BEFORE the target folder, the RECONSTRUCT.log and the capacity pre-check are created, so an exit-2/exit-3 refusal writes nothing at all into the target (its log lines are buffered and flushed once the log exists); it adds the CSV header-shape check that bash already performs; bash/reconstruct.sh gains verify_manifest_witness (grep/cut key=value, wc via parse_manifest, xxh128sum) at the same point in main(), immediately after the existing header guard. Absent sidecar = WARN and continue unless -RequireWitness/--require-witness (SR-039).","TC-068;TC-069","Verified"
